date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:28	182/182	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Oct%202017%2020:15:22%20GMT	http://lmpixels.com/robots.txt		(from )
23:15:29	46554/46554	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202017%2020:15:22%20GMT	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/index.html	(from )
23:15:29	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5474bb1672700%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/favicon.ico	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/favicon.ico	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:30	146010/146010	---MCZ	200	added ('OK')	text/css	etag:W/%2257960bc8-23a5a%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/bootstrap.css	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/bootstrap.css	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:30	9058/9058	---MCZ	200	added ('OK')	text/css	etag:W/%224f5c224a-2362%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/normalize.css	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/normalize.css	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:30	42135/42135	---MCZ	200	added ('OK')	text/css	etag:W/%2255899242-a497%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/transition-animations.css	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/transition-animations.css	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:30	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/owl.carousel.css	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/owl.carousel.css	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:30	7782/7782	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/magnific-popup.css	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/magnific-popup.css	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:30	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%22588a2ba0-11a43%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/animate.css	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/animate.css	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:31	40036/40036	---MCZ	200	added ('OK')	text/css	etag:W/%225911cc90-9c64%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/main.css	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/css/main.css	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:31	4136/4136	---MCZ	200	added ('OK')	text/css	etag:W/%22596f081e-1028%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/preview/lmpixels-demo-panel.css	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/preview/lmpixels-demo-panel.css	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:31	34566/34566	---MC-	200	added ('OK')	text/javascript	date:Thu,%2028%20Sep%202017%2022:31:34%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Omer/Desktop/portfolio/v1/www.google-analytics.com/analytics.js	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
23:15:33	9599/9599	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/js/modernizr.custom.js	C:/Users/Omer/Desktop/portfolio/v1/lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/js/modernizr.custom.js	(from http://lmpixels.com/demo/sunshine/sunshine-version-2/sunshine-html-template/)
